	reply_text
0	Identical but irrelevant RT : Did anyone think of comparing the clothes that was wearing to the security footage?
1	no, because that would require reasoning and then if reasoning is applied, no one can be shot. Shoot now, reason later.
2	
3	is it me, or the dude in the security cam photos is bald? Mike Brown isn't bald i dont belive
4	it's not him lmao the store owners already said so
5	my God sucks
6	. yes. They don't match. Flip flops + hat in store. Shoes + no hat in final pic.
7	It's a good thing u went to detective school....wat would the cops do w/o u?
8	yes hat and sandals vs no hat and tennis shoes
9	I thought the same thing.
10	had the same flip flops on.
11	Did anyone think that, holy balls, he was old enough to know how to change his clothes?
12	Yeah. just did on CNN.
13	No but it def softens the blow.
14	Even if he had robbed a convenience store, that's no excuse for murder.
15	it's not race were all targeted by the governments, cops, swat, FBI, they'll silence anyone who'll try to tell the truth
16	of course , however please do not try and compare it to hundreds of years of systemic oppression of a whole people
17	Good job, faggots. You IDd the wrong man.
18	BAM ANTI-WHITES get caught with their foot in their mouth in front of the WORLD LMAO
19	anti-whites ?
20	yup Anti-Racist is a codeword for ANTI-WHITE
21	A robbery doesn't excuse an execution style murder I don't give a fuck what anyone says. Swisher Sweets aren't worth a life.
22	corny, but only TRUE evil wants Us to believe INERT OBJECTS are more valuable than LIFE! --GBJ
23	Strong armed robbery, Assault on the store clerk, assaulting a police officer...and the info continues to come in.
24	? . From Murder in the st to a Gross Misdemeanor.
25	don't make this a race issue. The militarization of the police is the issue
26	it STARTED as a race issue, then people tried to SWAY it to an issue of militarization, dont get it twisted
27	You realize police brutality affects all races right?
28	you imagine the shitstorm if this guy was black? Doubt U heard about it
29	but because of the training that cops receive now is more military in manner they react overly aggressive towards us (non-cop)
30	well put. There are bigger issues the masses are finally starting to see.
31	Bring the get that bastard
32	“: BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag ” well fuck
33	“: BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag ”
34	Smfh RT : BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag
35	“: BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag ”
36	that's not the Islamic flag...
37	wtf fuk u Islamic state suck my dick with bacon wrapped around it
38	I want some lindt chocolates now
39	NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag via
40	“: BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag smhhhh
41	flag remains unidentified.
42	not the Islamic flag.....
43	pathetic islamist coward
44	"is this same as the ""call"" to Ray Hadley by ""POI"" from 0am? Or new info?"
45	
46	haha getting your news from is like watching Looney Tunes for Social skills ha
47	&amp; really an flag? Surely when packing his shot gun, that would be the first item he'd pack!
48	Yay Tony will save the day
49	terminate him.doing this innocent ppl.give the coward a uniform&amput him on battlefield see how tough he is
50	take the shot...
51	fool bought the wrong flag with him.
52	four packages better get Lambie on the case are they large ?
53	Source from Ray Hadley shows confirmed same report of gunman claiming there are four packages around Sydney
54	Deliver him the Australian SAS instead.
55	isis love choclate... Who knew.. Lol. They gotta make sure its alcohol free ofcourse
56	A breakdown of what we know and what we don’t: People Hostage at Café in
57	Another fine example of , the peaceful religion, right? Where are the speaking out against this?
58	this is exactly why Feinstein can shove that up her ass
59	. Yeah it's the same Johnny F'cknuts who was going to kidnap and kill police in Birmingham, UK last Tuesday.
60	get on that one
61	Evacuate the city, asap! We do not know if he acts on his own yet he threatens he has devices all over Sydney.
62	well...you're just a silly paranoid fuck now aren't you
63	I hate terrorism and I am worried about the people of our western civilisation.
64	western countries have killed more innocent children than hitler assmunch. But you prob don't consider that terror??
65	. Please take Hashtag for Plane crash. Thank you
66	Safety record is not perfect.
67	nice try, not buying ...
68	"“: Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up passengers."" Right."
69	Deplorable
70	they're asking people to stay indoors and don't go to the CBD. Why would you send drivers there?? Really disappointed of
71	what's not well-timed is what Huber is doing in a crisis situation. Uber has absolutely no integrity. Disgusting.
72	"“: Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up ” Uber=ugly opportunism!"
73	"""Grease my palm with silver lovie."" The disgraceful pricks. Run 'em outta town folks."
74	scum
75	. - I am OTR about distaste of surge pricing, but do you think your click bait story about Uber in Sydney is well timed + tasteful?
76	Uber is facing problems enough, will a price hike really help?
77	you might want to rethink your hashtag
78	They charged me $215 for a $20 fare. Neveer use them again after they've eloited situations.
79	. How altruistic of them!
80	"Fuck you “: Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up passengers."""
81	"Whaaaat? Is trying to ""shoot the moon"" when it comes to PR?"
82	Surge pricing during a hostage crisis •RT : Uber says it has hiked prices in Sydney...
83	If car can't get to rider, rider can't walk to car &amp; unable to schedule pickups, what is an rider to do?
84	You're reporting a report? What's your source?
85	here's to all the hostages getting safe passage on this day!
86	“: Reports two customers and an employee have escaped the
87	stranger by the second
88	Of course he did. It gave people time to solidify the opinions that they already had. It was a calculated move.
89	you know the cop didnt have to know about robbery for this video to have value. you're not very good at being stupid.
90	But she's very good at instigating and baiting....just like her mother. Smh
91	i had no idea that was her mom.
92	Yep!! Splitting image in everything except one has black hair and other blonde....
93	that's unfortunate. signed, ferguson PD
94	it's about changing the narrative.
95	And it is down right disrespectful to the young man and his family.
96	connects the robbery w shooting. dont have to be a genius. a guy who shoves clerk is s'posed to raise his hands later?
97	Shoving a clerk means you'll take on a police officer with a gun?
98	it prevented future crimes by
99	not necessarily. but it might show a particular disposition towards authority figures.
100	and who would blame them when those authority figures are gunning surrendering suspects down?
101	since the 'witness' version is incomplete/inaccurate the whole 'hands up' part prob isn't true either
102	I rolled through a stop sign once, the cop was shouting at me like I killed someone. I was terrified. They .
103	sad that happened to you. no doubt there are racist/ignorant cops. but not all, maybe not
104	Polluting potential jurors by any Chief of LEOs should be an intentional malice reprimand,+ the county DA may be his Advisor
105	Have to show Mike without clean hands somehow.
106	Chief needs to be removed from his job...I never meant this happen..don't insult our intelligence
107	I want to believe its total incompetence. But its was all on purpose to change public opinion. My guess is it will continue
108	Did the media ask for the video under FOIA as the Chief of Police said? And why was video released without commentary in am?
109	did of release the report filed by Wilson?
110	It's a strategy to manipulate media and misinform people.
111	he didn't say he didn't know about the robbery, it went out over radio, he said he didn't know was a suspect
112	For that reason precisely, media should refrain from connecting the two. Stay with the shooting story.
113	the chief said this am that cop was at a call for sick person, then got the call for store strong arm robbery
114	Incorrect. Was on sick person call &amp; then driving came across Brown &amp; friend walking &amp; asked they get off the road
115	i relistened to the press conf &amp; ur right i was wrong
116	It's like the 'connect the dots' books. If they sold cliff notes, they'd be outdated by day end. Bumbling idiots
117	seems like theres soo much about this case it gets confusing yet there isnt enough info??
118	Lisa is he the confirmed robber?
119	The people responsible for killing should not be in control of the evidence proving what happenend.
120	
121	but mike brown knew about the robbery and DIDN'T know the cop didn't know - that's what makes it POSSIBLY relevant
122	that's what I thought too...
123	LOL. million Muslims in France, what a disgrace. the french worm president and politicians killed them. tine for croissants now
124	MT France: dead after shooting at HQ of satirical weekly . If Zionists/Jews did this they'd be nuking Israel
125	They who? Stupid and partial opinions like this one only add noise to any debate.
126	Socialists, Antisemites, anti zionists - usual suspects
127	A French crime of passion or another heathen moslem atrocity?
128	EXCUSE ME, WHERE'S MY INVITE (to the latter, duh)
129	gonna try to make it to both.
130	you should send Prince a set of tennis balls for the legs of his walker. Easier to slide across stage.
131	Girl, don't be mean. Age ain't nothing but a number.
132	that makes no sense
133	game postponed, not cancelled.
134	I had a feeling that was going to happen, would of been a big risk for all fans. Safety first!
135	FACK!!!!
136	that disappoints you.... today? Wow...
137	Ya it does bother me. Was looking forward to tonight's game.
138	you need to re-evaluate....
139	You need to flake off ass....
140	stay classy.... I'm sorry that a tragedy ruined your ability to watch a sporting event.
141	"Didn't I say ""FLAKE OFF"""
142	at least your polite self absorbed person.
143	So now you judge me for fucking RT with comment, one. Why don't you look at yourself in the mirror and judge that instead
144	this was the right thing to do
145	as they should!!!!
146	Now i's confirmed as a National Emergency.
147	As it should be, having a game on the same day as a is just asking for trouble.
148	How unfortunate, but understandable.
149	Elderly people are subjected to toxic poison times legal limits but that does not seem important to CBC, CBS, or TC.
150	You can add A Chanel News &amp; Chek News to that group also. Letting people be subject to toxic poison is such a Victoria thing.
151	"You know it's serious when they cancel hockey "": cancels tonight's game between Ottawa and Toronto due to today's shootings."""
152	a bullet is just as evel as a bomb we bomb them they shot us but we make a big deal of both
153	there are times we shld put our stupidness aside nd be feel bad fr wats happening at the moment...!!!!
154	what's stupid is we are at war but moan when it's on our own soil now they are using chemicals so it's WHEN, BEWARE
155	"true..!!! bt its nt nice to say ""i told u so""..wen ur country is at siege...!! we can say it later..!!"
156	it's not a siege it's WAR This is the problem you and other are denying the fact we are at war WHY
157	if we are WAR..!!! who are we against...? whom do u blame..?
158	slag the Islamic people then sit back and watch what happens. Bomb Islamic people and watch what happens,
159	lets nt tag one religion like tat..as if other religions are holy..!!!
